names	rpkm
AT1G51680	5.29816315253172e-12
AT3G09745	8.52328746315427e-13
AT3G01530	4.51938868022014e-12
AT1G50670	5.14283165445768e-12
AT5G46370	1.5274942684982e-14
AT3G52800	8.85368875283513e-12
AT1G54740	1.19187227392431e-13
AT3G26110	1.5974763847642e-13
AT1G23110	1.02033522605929e-13
AT5G22890	2.06821562362057e-13
AT1G67860	3.11679524723249e-12
AT3G62660	4.84258663077715e-12
AT5G66290	3.08415892293931e-12
AT4G14910	4.21735200222009e-12
AT1G49210	8.28862032780509e-13
AT1G26190	2.79702515388231e-12
AT4G19390	5.55179712957445e-13
AT1G54080	1.99541940375454e-11
AT4G22830	1.4376195544638e-12
AT5G15380	2.23030390425284e-13
AT4G22920	1.79650142426051e-12
AT4G35370	3.01435693550684e-14
AT5G08270	2.10086252011433e-12
AT1G28700	3.0811456283916e-13
AT2G37540	4.94557670983156e-13
AT1G04940	2.42044813880837e-13
AT3G19870	3.65827044935471e-12
AT5G16250	7.93019973242865e-11
AT5G13810	6.91918165392334e-12
AT1G11590	1.90219291023186e-13
AT4G30690	4.14541708435231e-12
AT2G21040	6.60465735140583e-13
AT3G01290	3.28624908884624e-12
AT4G17070	2.63504950149661e-12
AT2G08445	8.6339795081303e-14
AT1G26830	1.25096895001285e-11
AT4G29440	2.06057742041398e-12
AT1G13940	3.15111623484472e-12
AT1G28620	2.11691266398992e-14
AT3G54340	7.63952299072652e-12
AT2G21940	2.15849487703258e-12
AT5G02695	1.19345640795928e-12
AT1G30455	5.85437926762112e-13
AT1G75220	5.56122438620077e-12
AT2G23430	6.76903993437416e-13
AT1G62500	1.02977839949789e-10
AT5G18800	1.46663500466834e-11
AT1G75760	6.65592371782256e-12
AT1G53300	1.26140214086117e-11
AT5G67265	5.84882482808827e-14
AT2G43900	1.45024487647926e-12
AT2G17450	4.55149290119956e-12
AT4G08170	3.04928158459345e-12
AT5G52060	2.37289571045595e-12
AT3G51270	9.24138009140403e-12
AT4G04135	2.39470752395312e-11
AT5G61800	8.90975772337771e-13
AT4G22290	4.70701033307304e-12
AT5G51050	3.50098529748467e-12
AT5G37370	6.93441745019672e-12
AT5G57150	4.45584486361044e-13
AT1G16700	1.10182285000406e-11
AT5G24650	1.73816950924735e-11
AT5G60580	8.29713020493836e-13
AT1G56130	3.12459957307157e-13
AT5G66000	3.35637714848501e-12
AT2G04755	2.94279630416374e-11
AT1G18190	4.22237080055139e-12
AT4G25470	1.47259752016842e-13
AT3G50240	4.11959806707716e-12
AT2G15090	1.45273782256676e-11
AT5G07030	4.87434513320573e-11
AT4G23260	1.36121298551604e-14
AT1G03475	1.19053961022088e-11
AT1G14687	1.64321257786043e-12
AT1G66130	1.06605271948263e-12
AT1G09673	3.22813477158581e-13
AT1G02305	1.57441104520227e-11
AT1G52630	2.85335665197354e-12
AT2G30720	3.60044541365434e-12
AT3G21200	4.51228732581077e-12
AT3G01625	8.09435578887216e-13
AT1G14520	3.23149586735166e-12
AT3G14730	1.95698225567123e-12
AT1G79390	9.84508070610333e-12
AT2G07683	1.95486328485969e-13
AT1G36730	1.89545662303631e-11
AT1G60360	3.54070437111283e-13
AT4G40065	1.00543569133495e-13
AT1G23700	1.19442404262672e-14
AT4G34790	1.10025933554935e-12
AT3G04470	2.04273643114681e-11
AT4G38580	1.082930876873e-11
AT1G50260	1.52064084554284e-12
AT5G20030	1.138373804515e-12
AT1G44130	9.53589002313935e-12
AT1G05317	1.06655040982786e-12
AT3G55440	4.80478088015642e-11
AT5G49830	7.56314419097633e-12
AT5G47240	3.65875567275225e-12
AT3G01380	4.8108533819302e-12
AT5G42000	6.92918100652496e-12
AT2G16780	1.95586523684609e-11
AT3G06330	3.21850820278323e-12
AT3G18610	2.51500970003076e-13
AT1G16445	8.46853798462122e-13
AT2G20020	4.02091694547013e-12
AT5G14940	3.68898412351447e-14
AT5G41685	7.6442306376861e-11
AT2G31770	3.67962596997943e-14
AT3G53360	7.59813539681356e-13
AT1G67265	1.06305872693854e-11
AT2G27990	2.45450977188166e-13
AT5G54630	9.13185131918307e-12
AT4G15230	1.16840810459297e-13
AT4G13050	5.48251888551262e-12
AT5G51670	9.9465370623649e-13
AT1G65010	1.52325696887098e-11
AT2G05140	1.27369036545559e-12
AT5G63540	9.24266569905055e-13
AT2G07658	1.79740837343977e-13
AT2G21630	1.30333226747004e-12
AT5G45430	9.34947363606493e-12
AT5G20300	4.42204197621731e-12
AT5G39350	3.40560226693477e-12
AT5G17170	5.01397860262651e-12
AT2G37975	2.93301362702662e-12
AT1G56120	2.13839715936933e-13
AT3G02515	9.42420814107782e-13
AT3G22550	1.460466282016e-12
AT5G27250	1.62249279347415e-13
AT1G31940	2.0358014840223e-12
AT4G00660	9.48409441354621e-12
AT3G61010	2.88608594454549e-12
AT3G63150	4.12115898386633e-12
AT5G54780	1.61294122679357e-12
AT1G22230	1.82881122146276e-13
AT1G80410	8.63874966255468e-12
AT3G54740	7.8273161896885e-12
AT3G62440	4.47135806832889e-14
AT5G52540	9.20443886848891e-12
AT3G31161	8.13065334846351e-13
AT3G09570	1.85516834721059e-11
AT5G18290	6.58622366481329e-12
AT4G04225	2.72825607193231e-11
AT1G79280	6.82385165122874e-12
AT3G48760	6.38485708095595e-12
AT1G44110	7.13479760049515e-12
AT2G18290	2.41990429120607e-12
AT2G34640	6.20702091985573e-12
AT3G24770	6.35372338162409e-12
AT1G32080	2.71902037411278e-12
AT1G01150	4.88496370913524e-14
AT3G26670	5.34101988177363e-12
AT5G44000	2.23574627263164e-12
AT3G15030	5.28311493981911e-13
AT4G28820	1.07649064492118e-12
AT1G17440	7.34434712590324e-12
AT2G02765	2.39351908349458e-12
AT2G35240	2.13412144205747e-11
AT2G28605	3.60875317412287e-12
AT5G06845	3.34218561605044e-13
AT1G55690	8.26163133252642e-12
AT3G27865	1.59396544765483e-12
AT4G28980	7.82617395319633e-12
AT1G04077	5.49435059608292e-13
AT1G61730	2.89115290498286e-11
AT3G14800	5.70607894275278e-12
AT1G22100	1.80902427789397e-13
AT4G30370	8.90302702821368e-13
AT1G28180	2.82934048901019e-13
AT5G61920	1.8875906616965e-12
AT5G18210	2.03614169148955e-12
AT3G19950	5.84162904206371e-12
AT5G64170	4.46105454870391e-12
AT5G23510	6.27020990215803e-13
AT3G59820	1.13529203341535e-11
AT5G61970	6.74319229760768e-12
AT3G57870	4.18679914823278e-11
AT5G63130	3.28913505071631e-13
AT4G20440	3.44645628299747e-11
AT1G79910	2.07769560356077e-13
AT1G30845	3.12551658561232e-12
AT3G25014	1.12617124019091e-12
AT1G28715	2.03866276509612e-13
AT2G01090	5.24660997652683e-12
AT1G04960	2.76462876245087e-12
AT2G08205	1.59396544765483e-11
AT4G22780	4.27243270304948e-12
AT1G48010	2.17141999605672e-13
AT1G72680	4.26063218547422e-12
